南豐新邨  3座 14樓 A室 ,570呎,692呎,中原地圖座向,20/08/14,$665萬,"@$11,667(實)","@$9,610(建)",57.2%,04/11/10,$423萬,"@$6,113(建)",28.6%,12/02/98,$329萬,"@$4,754(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  3座 13樓 A室 ,570呎,692呎,中原地圖座向,04/12/08,$295萬,"@$4,263(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 28樓 A室 ,570呎,692呎,中原地圖座向,21/01/00,$225萬,"@$3,251(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 27樓 A室 ,-,692呎,中原地圖座向,18/08/00,$208萬,"@$3,006(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 26樓 A室 ,-,692呎,中原地圖座向,25/06/96,$293萬,"@$4,231(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 25樓 A室 ,570呎,692呎,中原地圖座向,30/07/09,$348萬,"@$5,029(建)",37.6%,25/04/05,$253萬,"@$3,656(建)",27.8%,22/01/02,$198萬,"@$2,861(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 22樓 A室 ,570呎,692呎,中原地圖座向,17/02/12,$485萬,"@$7,009(建)",10.2%,22/07/97,$440萬,"@$6,358(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 13樓 A室 ,-,692呎,中原地圖座向,31/07/97,$285萬,"@$4,118(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 12樓 A室 ,-,692呎,中原地圖座向,26/10/04,$216萬,"@$3,118(建)",30.8%,31/12/03,$165萬,"@$2,384(建)",62.6%,19/06/97,$441萬,"@$6,373(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 6樓 A室 ,570呎,692呎,中原地圖座向,03/02/97,$150萬,"@$2,168(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 4樓 A室 ,570呎,692呎,中原地圖座向,30/01/04,$165萬,"@$2,384(建)",43.3%,30/08/96,$291萬,"@$4,205(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
南豐新邨  4座 1樓 A室 ,570呎,692呎,中原地圖座向,01/12/98,$185萬,"@$2,673(建)",-,低層,$555萬,"@$10,755(實)","@$8,851(建)",>詳情,高層,$700萬,"@$12,280(實)","@$10,115(建)",>詳情
